epsilon	fr	nr	fn	test1	fre	nre	fne	test2
0.10	15412.2808095	15491.656178	1565.11845026	True	29.3569025466	29.3599772015	0.163959249745	True
0.20	7706.0806677	7745.82808899	782.988465392	True	14.6794054121	14.6799886008	0.276218457638	True
0.30	5137.40406032	5163.88539266	521.819531796	True	9.7859501381	9.78665906718	-0.307089103058	True
0.40	3853.08415197	3872.9140445	391.247382892	True	7.33906747834	7.33999430038	0.0375474210944	True
0.50	3082.5468894	3098.3312356	313.10436652	True	5.87062356097	5.87199544031	-12.9243661162	True
0.60	2568.7073846	2581.94269633	260.877704053	True	4.89289595959	4.89332953359	0.194746636285	True
0.70	2202.01243111	2213.09373971	224.600927102	True	4.19305956779	4.19428245736	0.136651643044	True
0.80	1926.51421826	1936.45702225	195.942900483	True	3.67019960689	3.66999715019	-0.0287036300815	False
0.90	1712.7479709	1721.29513089	175.138148173	True	3.26135925951	3.26221968906	0.0324045845407	True
1.00	1541.28700368	1549.1656178	158.454132038	True	2.93772465295	2.93599772015	0.0926005599404	False
