epsilon	fr	nr	fn	test1	fre	nre	fne	test2
0.10	15412.55177	15491.656178	1565.07445639	True	30.6742361359	30.6694488462	0.131813847658	False
0.20	7706.20013159	7745.82808899	782.469644922	True	15.3363954907	15.3347244231	0.141665671326	False
0.30	5137.40398285	5163.88539266	521.82008863	True	10.2234227941	10.2231496154	0.0262215927069	False
0.40	3853.13794217	3872.9140445	391.26861354	True	7.66855903121	7.66736221156	0.189053364695	False
0.50	3082.46729189	3098.3312356	312.997950862	True	6.13441360418	6.13388976925	0.0543159254497	False
0.60	2568.70201086	2581.94269633	260.909904505	True	5.11171174736	5.11157480771	-0.0424816486063	False
0.70	2201.74837	2213.09373971	223.613640946	True	4.38153144329	4.38134983518	-0.00874134334081	False
0.80	1926.55004944	1936.45702225	195.617408543	True	3.83409904908	3.83368110578	-0.00853884935012	False
0.90	1712.490857	1721.29513089	173.882112207	True	3.4081082561	3.40771653847	0.13522699048	False
1.00	1541.26165571	1549.1656178	156.520565117	True	3.06747759354	3.06694488462	0.0887831327068	False
