epsilon	fr	nr	fn	test1	fre	nre	fne	test2
0.10	15594.2704135	15692.2370932	1754.25644265	True	29.7816991085	29.8499228045	0.383675209701	True
0.20	7797.35912563	7846.11854658	878.944824136	True	14.8916411267	14.9249614023	0.350668202096	True
0.30	5198.3042145	5230.74569772	586.501084176	True	9.92795457966	9.94997426817	0.0842075672445	True
0.40	3899.10608757	3923.05927329	443.062558748	True	7.44689522077	7.46248070113	0.761676325064	True
0.50	3119.34490322	3138.44741863	354.959404151	True	5.95764227378	5.9699845609	0.12059631802	True
0.60	2599.62195215	2615.37284886	297.224896074	True	4.96501738044	4.97498713408	0.191129753452	True
0.70	2227.72301917	2241.74815617	250.391785286	True	4.25462575731	4.26427468636	-0.468438057512	True
0.80	1949.31067519	1961.52963665	219.497343863	True	3.72281939373	3.73124035056	0.265478595761	True
0.90	1733.14365482	1743.58189924	198.679266809	True	3.31011630174	3.31665808939	0.26194296937	True
1.00	1559.44057817	1569.22370932	175.652732377	True	2.97855975156	2.98499228045	0.204241226962	True
